CaF2_cm1,AgSiNW_cm1,shift_cm1,SNR_CaF2,SNR_AgSiNW,FWHM_CaF2,FWHM_AgSiNW,status,band_CaF2,band_AgSiNW
,518.8,,,19.3,,8.4,only on AgSiNW,,Si optical phonon (substrate)
532.5,,,6.7,,18.4,,"only on CaF2 (nearest AgSiNW 518.8, Δ13.7)",unassigned,
,831.3,,,8.0,,6.0,only on AgSiNW,,Tyr (Fermi doublet) / O-P-O stretch
848.6,,,11.3,,14.8,,only on CaF2,"Tyr ring breathing / C-C stretch (proline, polysaccharide C-O-C)",
,933.5,,,6.5,,4.6,only on AgSiNW,,C-C stretch protein backbone (alpha-helix)
,1001.6,,,11.4,,7.4,only on AgSiNW,,Phe ring breathing
1118.6,,,11.9,,12.1,,only on CaF2,"C-C stretch (lipid, trans) / C-N stretch (protein)",
,1170.0,,,9.9,,11.1,only on AgSiNW,,Tyr C-H bend
,1210.1,,,6.5,,6.0,only on AgSiNW,,Tyr / Phe C-C6H5 stretch
1255.5,,,7.7,,10.3,,only on CaF2,Amide III,
,1355.6,,,17.4,,56.3,only on AgSiNW,,COO- symmetric stretch / CH3 bend / carbon D band
1456.8,,,27.7,,23.2,,only on CaF2,CH2/CH3 deformation (scissoring),
,1580.1,,,10.4,,7.7,only on AgSiNW,,COO- asymmetric stretch / carbon G band / Phe
1605.4,1607.1,1.7,6.5,18.7,19.2,23.0,in both,Phe / Tyr ring C=C stretch,Phe / Tyr ring C=C stretch / carbon G band
1729.4,1722.3,-7.1,13.5,17.1,26.7,21.3,in both,"C=O stretch (ester, lipids)","C=O stretch (ester, lipids)"
